Gender,Word,Translation
das,Haus,casa
die,Kartoffeln,papa
das,Handy,celular
die,Tasse,taza
der,Pflegedienst,servicio de enfermería
der,Punkt,punto(.)
der,Bindestrich,guion(-)
der,Stift,pluma
der,Hund,perro
das,Kind,niño
das,Auto,carro
der,Kellner,mesero
der,Tisch,mesa
das,Essen,comida
die,Burg,edificio
der,Këse,queso
das,Kësefondue,queso fondiou
die,Kunst,arte
der,Strand,playa
die,Bank,banco
der,Strandkorb,silla de playa
der,Korb,cesta
die,Produktion,producción
das,Bier,cerveza
der,Komponist,compositor
das,Auto,carro
die,Messe,feria
das,Geld,dinero
die,Insel,isla
der,Fluss,río
das,Museum,museo
der,Gartenzwerg,gnomo de jardín
das,Stadion,estadio
die,Torte,tarta(pastel)
die,Uhr,reloj
die,Sprache,idioma
der,Dozent,docente
der,Ingenieur,ingeniero
die,Ingenieurin,ingeniera
die,Fitnessstudio-Trainerin,entrenadora de gimnasio
die,Fitnessstudio-Trainer,entrenador de gimnasio
der,Student,estudiante(masculino)
die,Studentin,estudiante(femenino)
das,Team,equipo
der,Flughafen,aeropuerto
der,Abflug,despegue
der,Ankunft,aterrizaje
die,Eintrittskarte,Ticket de entrada
das,Gepäck,equipaje
die,Postkarte,postal
die,Briefmarke,estampilla
der,Koffer,maleta
