Word,Translation
Ski fahren,esquiar
anhören,escuchar
lesen,leer
besuchen,visitar
suchen,buscar
verloren,perder
kaufen,comprar
aufrufen,llamar
machen,hacer
mögen,gustar
haben,tener
finden,encontrar
schicken,enviar
passt,encaja
packen,empacar
empfehlen,recomendar
erklären,explicar
fragen,preguntar
besichtigen,visitar
vergessen,olvidar
buchen,reservar(book)
bekommen,tener
erkleren,explicar
kennenlernen,conocer
baden,bañar
diskutieren,discutir
passieren,pasar
besichtigen,visitar
entschuldigen,disculpar
essen,comer
gehen,ir
fahren,conducir
empfohlen,recomendar
vergessen,olvidar
verstanden,entender
